# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 14 14:41:58 2019
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_pdisposition: Disposition Using Kepler Data
#
kepid,kepoi_name,kepler_name,koi_pdisposition
5959753,K00226.01,Kepler-496 b,CANDIDATE
6185476,K00227.01,,CANDIDATE
3847907,K00229.01,Kepler-497 b,CANDIDATE
3862246,K00230.01,,FALSE POSITIVE
4043443,K00231.01,,FALSE POSITIVE
4833421,K00232.01,Kepler-122 c,CANDIDATE
4833421,K00232.02,Kepler-122 b,CANDIDATE
4833421,K00232.03,Kepler-122 d,CANDIDATE
4833421,K00232.04,Kepler-122 e,CANDIDATE
4833421,K00232.05,Kepler-122 f,CANDIDATE
5023956,K00233.01,,FALSE POSITIVE
8491277,K00234.01,Kepler-498 b,CANDIDATE
8107225,K00235.01,Kepler-499 b,CANDIDATE
8453211,K00236.01,,FALSE POSITIVE
8041216,K00237.01,Kepler-500 b,CANDIDATE
7219825,K00238.01,Kepler-123 b,CANDIDATE
7219825,K00238.02,Kepler-123 c,CANDIDATE
7219825,K00238.03,,CANDIDATE
6383785,K00239.01,Kepler-501 b,CANDIDATE
6383785,K00239.02,,CANDIDATE
8026752,K00240.01,Kepler-502 b,CANDIDATE
11288051,K00241.01,Kepler-124 c,CANDIDATE
11288051,K00241.02,Kepler-124 d,CANDIDATE
11288051,K00241.03,Kepler-124 b,CANDIDATE
3642741,K00242.01,Kepler-503 b,CANDIDATE
9592579,K00243.01,,FALSE POSITIVE
4349452,K00244.01,Kepler-25 c,CANDIDATE
4349452,K00244.02,Kepler-25 b,CANDIDATE
8478994,K00245.01,Kepler-37 d,CANDIDATE
8478994,K00245.02,Kepler-37 c,CANDIDATE
8478994,K00245.03,Kepler-37 b,CANDIDATE
8478994,K00245.04,Kepler-37 e,FALSE POSITIVE
11295426,K00246.01,Kepler-68 A b,CANDIDATE
11295426,K00246.02,Kepler-68 A c,CANDIDATE
11852982,K00247.01,,CANDIDATE
5364071,K00248.01,Kepler-49 b,CANDIDATE
5364071,K00248.02,Kepler-49 c,CANDIDATE
5364071,K00248.03,Kepler-49 d,CANDIDATE
5364071,K00248.04,Kepler-49 e,CANDIDATE
9390653,K00249.01,Kepler-504 b,CANDIDATE
9757613,K00250.01,Kepler-26 b,CANDIDATE
9757613,K00250.02,Kepler-26 c,CANDIDATE
9757613,K00250.03,Kepler-26 d,CANDIDATE
9757613,K00250.04,Kepler-26 e,CANDIDATE
10489206,K00251.01,Kepler-125 b,CANDIDATE
10489206,K00251.02,Kepler-125 c,CANDIDATE
11187837,K00252.01,,CANDIDATE
11752906,K00253.01,,CANDIDATE
11752906,K00253.02,,CANDIDATE
5794240,K00254.01,Kepler-45 b,CANDIDATE
7021681,K00255.01,Kepler-505 b,CANDIDATE
7021681,K00255.02,,CANDIDATE
7021681,K00255.03,,FALSE POSITIVE
11548140,K00256.01,,FALSE POSITIVE
5514383,K00257.01,Kepler-506 b,CANDIDATE
11231334,K00258.01,,FALSE POSITIVE
5790807,K00259.01,,FALSE POSITIVE
8292840,K00260.01,Kepler-126 b,CANDIDATE
8292840,K00260.02,Kepler-126 d,CANDIDATE
8292840,K00260.03,Kepler-126 c,CANDIDATE
5383248,K00261.01,Kepler-96 b,CANDIDATE
11807274,K00262.01,Kepler-50 b,CANDIDATE
11807274,K00262.02,Kepler-50 c,CANDIDATE
10514430,K00263.01,,FALSE POSITIVE
3097346,K00264.01,,FALSE POSITIVE
12024120,K00265.01,Kepler-507 b,CANDIDATE
7375348,K00266.01,Kepler-508 b,CANDIDATE
7375348,K00266.02,,CANDIDATE
8167959,K00267.01,,FALSE POSITIVE
3425851,K00268.01,,CANDIDATE
7670943,K00269.01,,CANDIDATE
6528464,K00270.01,Kepler-449 b,CANDIDATE
6528464,K00270.02,Kepler-449 c,CANDIDATE
9451706,K00271.01,Kepler-127 d,CANDIDATE
9451706,K00271.02,Kepler-127 c,CANDIDATE
9451706,K00271.03,Kepler-127 b,CANDIDATE
5716763,K00272.01,,CANDIDATE
3102384,K00273.01,Kepler-454 b,CANDIDATE
8077137,K00274.01,Kepler-128 b,CANDIDATE
8077137,K00274.02,Kepler-128 c,CANDIDATE
10586004,K00275.01,Kepler-129 b,CANDIDATE
10586004,K00275.02,Kepler-129 c,CANDIDATE
11133306,K00276.01,Kepler-509 b,CANDIDATE
11401755,K00277.01,Kepler-36 c,CANDIDATE
11401755,K00277.02,Kepler-36 b,CANDIDATE
12314973,K00279.01,Kepler-450 b,CANDIDATE
12314973,K00279.02,Kepler-450 c,CANDIDATE
12314973,K00279.03,Kepler-450 d,CANDIDATE
4141376,K00280.01,Kepler-1655 b,CANDIDATE
4143755,K00281.01,Kepler-510 b,CANDIDATE
5088536,K00282.01,Kepler-130 c,CANDIDATE
5088536,K00282.02,Kepler-130 b,CANDIDATE
5088536,K00282.03,Kepler-130 d,CANDIDATE
5695396,K00283.01,Kepler-131 b,CANDIDATE
5695396,K00283.02,Kepler-131 c,CANDIDATE
5695396,K00283.03,,CANDIDATE
6021275,K00284.01,Kepler-132 d,CANDIDATE
6021275,K00284.02,Kepler-132 c,CANDIDATE
6021275,K00284.03,Kepler-132 b,CANDIDATE
6021275,K00284.04,Kepler-132 e,CANDIDATE
6196457,K00285.01,Kepler-92 b,CANDIDATE
6196457,K00285.02,Kepler-92 c,CANDIDATE
6196457,K00285.03,Kepler-92 d,CANDIDATE
8258171,K00286.01,,FALSE POSITIVE
8703887,K00287.01,,FALSE POSITIVE
9592705,K00288.01,,CANDIDATE
10386922,K00289.01,,CANDIDATE
10386922,K00289.02,Kepler-511 b,CANDIDATE
10488450,K00290.01,,FALSE POSITIVE
10933561,K00291.01,Kepler-133 c,CANDIDATE
10933561,K00291.02,Kepler-133 b,CANDIDATE
11075737,K00292.01,Kepler-97 b,CANDIDATE
11200415,K00293.01,,FALSE POSITIVE
11259686,K00294.01,Kepler-512 b,CANDIDATE
11547513,K00295.01,Kepler-134 b,CANDIDATE
11547513,K00295.02,Kepler-134 c,CANDIDATE
11802615,K00296.01,Kepler-513 b,CANDIDATE
11905011,K00297.01,Kepler-514 b,CANDIDATE
12785320,K00298.01,Kepler-515 b,CANDIDATE
12785320,K00298.02,,CANDIDATE
2692377,K00299.01,Kepler-98 b,CANDIDATE
3438975,K00300.01,,FALSE POSITIVE
3642289,K00301.01,Kepler-135 b,CANDIDATE
3642289,K00301.02,Kepler-135 c,CANDIDATE
3662838,K00302.01,Kepler-516 b,CANDIDATE
3662838,K00302.02,,FALSE POSITIVE
5966322,K00303.01,Kepler-517 b,CANDIDATE
6029239,K00304.01,Kepler-518 b,CANDIDATE
6029239,K00304.02,,CANDIDATE
6063220,K00305.01,Kepler-99 b,CANDIDATE
6071903,K00306.01,Kepler-519 b,CANDIDATE
6289257,K00307.01,Kepler-520 b,CANDIDATE
6289257,K00307.02,Kepler-520 c,CANDIDATE
6291837,K00308.01,,CANDIDATE
7024222,K00309.01,,FALSE POSITIVE
7024511,K00311.01,,FALSE POSITIVE
7050989,K00312.01,Kepler-136 b,CANDIDATE
7050989,K00312.02,Kepler-136 c,CANDIDATE
7419318,K00313.01,Kepler-137 c,CANDIDATE
7419318,K00313.02,Kepler-137 b,CANDIDATE
7603200,K00314.01,Kepler-138 c,CANDIDATE
7603200,K00314.02,Kepler-138 d,CANDIDATE
7603200,K00314.03,Kepler-138 b,CANDIDATE
7700622,K00315.01,,CANDIDATE
8008067,K00316.01,Kepler-139 b,CANDIDATE
8008067,K00316.02,Kepler-139 c,CANDIDATE
8008067,K00316.03,,CANDIDATE
8121310,K00317.01,Kepler-521 b,CANDIDATE
8121310,K00317.02,,CANDIDATE
8156120,K00318.01,Kepler-522 b,CANDIDATE
8684730,K00319.01,,CANDIDATE
8700558,K00320.01,,FALSE POSITIVE
8753657,K00321.01,Kepler-406 b,CANDIDATE
8753657,K00321.02,Kepler-406 c,CANDIDATE
8948424,K00322.01,,FALSE POSITIVE
9139084,K00323.01,Kepler-523 b,CANDIDATE
9641041,K00324.01,,FALSE POSITIVE
9724984,K00325.01,,FALSE POSITIVE
9880467,K00326.01,,FALSE POSITIVE
9880467,K00326.02,,FALSE POSITIVE
9881662,K00327.01,Kepler-140 b,CANDIDATE
9881662,K00327.02,Kepler-140 c,CANDIDATE
9895004,K00328.01,,FALSE POSITIVE
10031885,K00329.01,,FALSE POSITIVE
11361646,K00330.01,Kepler-524 b,CANDIDATE
11361646,K00330.02,Kepler-524 c,CANDIDATE
10285631,K00331.01,Kepler-525 b,CANDIDATE
10285631,K00331.02,,CANDIDATE
10290666,K00332.01,Kepler-526 b,CANDIDATE
10290666,K00332.02,,CANDIDATE
10337258,K00333.01,Kepler-527 b,CANDIDATE
10383687,K00334.01,,FALSE POSITIVE
10470206,K00335.01,,FALSE POSITIVE
10518725,K00336.01,,FALSE POSITIVE
10545066,K00337.01,Kepler-528 b,CANDIDATE
10545066,K00337.02,,CANDIDATE
10552611,K00338.01,Kepler-141 c,CANDIDATE
10552611,K00338.02,Kepler-141 b,CANDIDATE
10587105,K00339.01,Kepler-529 b,CANDIDATE
10587105,K00339.02,Kepler-529 c,CANDIDATE
10587105,K00339.03,,CANDIDATE
10616571,K00340.01,,FALSE POSITIVE
10878263,K00341.01,Kepler-414 c,CANDIDATE
10878263,K00341.02,Kepler-414 b,CANDIDATE
10982872,K00343.01,Kepler-142 c,CANDIDATE
10982872,K00343.02,Kepler-142 b,CANDIDATE
10982872,K00343.03,Kepler-142 d,CANDIDATE
11015108,K00344.01,Kepler-530 b,CANDIDATE
11074541,K00345.01,Kepler-531 b,CANDIDATE
11100383,K00346.01,Kepler-532 b,CANDIDATE
11189127,K00347.01,,FALSE POSITIVE
11194032,K00348.01,Kepler-533 b,CANDIDATE
11394027,K00349.01,,CANDIDATE
11395587,K00350.01,,CANDIDATE
11442793,K00351.01,Kepler-90 h,CANDIDATE
11442793,K00351.02,Kepler-90 g,CANDIDATE
11442793,K00351.03,Kepler-90 d,CANDIDATE
11442793,K00351.04,Kepler-90 e,CANDIDATE
11442793,K00351.05,Kepler-90 c,CANDIDATE
11442793,K00351.06,Kepler-90 b,CANDIDATE
11442793,K00351.07,Kepler-90 f,CANDIDATE
11521793,K00352.01,Kepler-143 c,CANDIDATE
11521793,K00352.02,Kepler-143 b,CANDIDATE
11566064,K00353.01,,CANDIDATE
11566064,K00353.02,,CANDIDATE
11566064,K00353.03,,CANDIDATE
11568987,K00354.01,Kepler-534 b,CANDIDATE
11568987,K00354.02,,CANDIDATE
11621223,K00355.01,Kepler-535 b,CANDIDATE
11624249,K00356.01,Kepler-536 b,CANDIDATE
12017140,K00358.01,,FALSE POSITIVE
12106929,K00359.01,,FALSE POSITIVE
12107021,K00360.01,,FALSE POSITIVE
12404954,K00361.01,Kepler-537 b,CANDIDATE
1571511,K00362.01,,FALSE POSITIVE
2438070,K00363.01,,FALSE POSITIVE
7296438,K00364.01,,CANDIDATE
11623629,K00365.01,Kepler-538 b,CANDIDATE
11623629,K00365.02,,CANDIDATE
3545478,K00366.01,,CANDIDATE
4815520,K00367.01,Kepler-1656 b,CANDIDATE
6603043,K00368.01,,FALSE POSITIVE
7175184,K00369.01,Kepler-144 b,CANDIDATE
7175184,K00369.02,Kepler-144 c,CANDIDATE
8494142,K00370.01,Kepler-145 c,CANDIDATE
8494142,K00370.02,Kepler-145 b,CANDIDATE
5652983,K00371.01,,FALSE POSITIVE
5652983,K00371.02,,FALSE POSITIVE
6471021,K00372.01,Kepler-539 b,CANDIDATE
7364176,K00373.01,,CANDIDATE
8686097,K00374.01,Kepler-540 b,CANDIDATE
12356617,K00375.01,,CANDIDATE
12643589,K00376.01,,FALSE POSITIVE
12643589,K00376.02,,FALSE POSITIVE
3323887,K00377.01,Kepler-9 b,CANDIDATE
3323887,K00377.02,Kepler-9 c,CANDIDATE
3323887,K00377.03,Kepler-9 d,CANDIDATE
2449074,K00378.01,,FALSE POSITIVE
2446113,K00379.01,,FALSE POSITIVE
2446113,K00379.02,,CANDIDATE
2452450,K00380.01,,FALSE POSITIVE
3230578,K00381.01,,FALSE POSITIVE
3231137,K00382.01,,FALSE POSITIVE
3342463,K00383.01,,FALSE POSITIVE
3353050,K00384.01,Kepler-541 b,CANDIDATE
3446746,K00385.01,Kepler-542 b,CANDIDATE
3656121,K00386.01,Kepler-146 b,CANDIDATE
3656121,K00386.02,Kepler-146 c,CANDIDATE
3733628,K00387.01,Kepler-543 b,CANDIDATE
3831053,K00388.01,,CANDIDATE
3847708,K00389.01,,FALSE POSITIVE
3849155,K00390.01,,FALSE POSITIVE
3858804,K00391.01,,FALSE POSITIVE
3942670,K00392.01,Kepler-147 c,CANDIDATE
3942670,K00392.02,Kepler-147 b,CANDIDATE
3964109,K00393.01,Kepler-544 b,CANDIDATE
4159347,K00394.01,,FALSE POSITIVE
4165960,K00395.01,,FALSE POSITIVE
4252322,K00396.01,,CANDIDATE
4376644,K00397.01,,FALSE POSITIVE
9946525,K00398.01,Kepler-148 d,CANDIDATE
9946525,K00398.02,Kepler-148 c,CANDIDATE
9946525,K00398.03,Kepler-148 b,CANDIDATE
7289157,K00399.01,,FALSE POSITIVE
2695110,K00400.01,,FALSE POSITIVE
3217264,K00401.01,Kepler-149 b,CANDIDATE
3217264,K00401.02,Kepler-149 d,CANDIDATE
3217264,K00401.03,Kepler-149 c,CANDIDATE
3342592,K00402.01,,FALSE POSITIVE
4247092,K00403.01,,FALSE POSITIVE
4949751,K00404.01,,FALSE POSITIVE
5003117,K00405.01,,FALSE POSITIVE
5035972,K00406.01,,FALSE POSITIVE
5218441,K00407.01,,FALSE POSITIVE
5351250,K00408.01,Kepler-150 c,CANDIDATE
5351250,K00408.02,Kepler-150 d,CANDIDATE
5351250,K00408.03,Kepler-150 e,CANDIDATE
5351250,K00408.04,Kepler-150 b,CANDIDATE
5351250,K00408.05,,FALSE POSITIVE
5444548,K00409.01,Kepler-545 b,CANDIDATE
5449777,K00410.01,,FALSE POSITIVE
5478055,K00411.01,,FALSE POSITIVE
5683743,K00412.01,Kepler-546 b,CANDIDATE
5791986,K00413.01,Kepler-151 b,CANDIDATE
