# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 14 14:44:06 2019
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
#
kepid,kepoi_name,kepler_name,koi_impact,koi_impact_err1,koi_impact_err2
10875245,K00117.04,Kepler-107 d,0.706,0.237,-0.494
3531558,K00118.01,Kepler-467 b,0.686,0.015,-0.505
9471974,K00119.01,Kepler-108 b,0.035,0.361,-0.035
9471974,K00119.02,Kepler-108 c,0.812,0.048,-0.010
11869052,K00120.01,,0.950,0.007,-0.668
3247396,K00121.01,,1.223,11.080,-0.215
8349582,K00122.01,Kepler-95 b,0.000,0.304,0.000
5094751,K00123.01,Kepler-109 b,0.833,0.021,-0.576
5094751,K00123.02,Kepler-109 c,0.020,0.378,-0.020
11086270,K00124.01,Kepler-110 b,0.008,0.389,-0.007
11086270,K00124.02,Kepler-110 c,0.125,0.285,-0.125
11449844,K00125.01,Kepler-468 b,0.003,0.034,-0.003
5897826,K00126.01,Kepler-469 b,0.023,0.088,-0.023
5897826,K00126.02,,1.004,,
8359498,K00127.01,Kepler-77 b,0.079,0.045,-0.054
11359879,K00128.01,Kepler-15 b,0.566,0.009,-0.009
11974540,K00129.01,Kepler-470 b,0.073,0.096,-0.050
5297298,K00130.01,,0.625,0.004,-0.005
7778437,K00131.01,Kepler-471 b,0.066,0.029,-0.066
8892910,K00132.01,,0.948,0.003,-0.005
11673674,K00133.01,,0.766,0.012,-0.019
9032900,K00134.01,,0.728,0.017,-0.451
9818381,K00135.01,Kepler-43 b,0.424,0.031,-0.046
7601633,K00136.01,,0.985,0.092,-0.055
8644288,K00137.01,Kepler-18 c,0.027,0.167,-0.027
8644288,K00137.02,Kepler-18 d,0.255,0.052,-0.225
8644288,K00137.03,Kepler-18 b,0.741,0.004,-0.550
8506766,K00138.01,,0.981,0.021,-0.018
8559644,K00139.01,Kepler-111 c,0.652,0.032,-0.057
8559644,K00139.02,Kepler-111 b,0.426,0.453,-0.271
5130369,K00140.01,,0.923,0.006,-0.011
12105051,K00141.01,,0.781,0.057,-0.390
4649305,K00143.01,,0.925,0.003,-0.004
4180280,K00144.01,Kepler-472 b,0.715,0.080,-0.486
9904059,K00145.01,,0.922,0.005,-0.007
9048161,K00146.01,,1.276,0.375,-0.159
1996679,K00147.01,,1.274,70.860,-0.529
5735762,K00148.01,Kepler-48 b,0.020,0.359,-0.020
5735762,K00148.02,Kepler-48 c,0.194,0.132,-0.194
5735762,K00148.03,Kepler-48 d,0.007,0.397,-0.007
3835670,K00149.01,Kepler-473 b,0.036,0.284,-0.036
7626506,K00150.01,Kepler-112 b,0.018,0.307,-0.018
7626506,K00150.02,Kepler-112 c,0.068,0.328,-0.068
2307199,K00151.01,,0.963,0.013,-0.008
8394721,K00152.01,Kepler-79 d,0.065,0.113,-0.065
8394721,K00152.02,Kepler-79 c,0.022,0.296,-0.022
8394721,K00152.03,Kepler-79 b,0.011,0.319,-0.011
8394721,K00152.04,Kepler-79 e,0.584,0.360,-0.379
12252424,K00153.01,Kepler-113 c,0.740,0.003,-0.525
12252424,K00153.02,Kepler-113 b,0.672,0.004,-0.507
8030148,K00155.01,Kepler-474 b,0.477,0.002,-0.419
10925104,K00156.01,Kepler-114 c,0.260,0.134,-0.259
10925104,K00156.02,Kepler-114 b,0.179,0.209,-0.179
10925104,K00156.03,Kepler-114 d,0.540,0.266,-0.335
6541920,K00157.01,Kepler-11 c,0.004,0.337,-0.004
6541920,K00157.02,Kepler-11 d,0.023,0.363,-0.023
6541920,K00157.03,Kepler-11 e,0.690,0.139,-0.465
6541920,K00157.04,Kepler-11 f,0.217,0.187,-0.217
6541920,K00157.05,Kepler-11 g,0.011,0.328,-0.010
6541920,K00157.06,Kepler-11 b,0.017,0.363,-0.017
10555375,K00158.01,,0.967,0.070,-0.745
8972058,K00159.01,Kepler-115 c,0.770,0.016,-0.529
8972058,K00159.02,Kepler-115 b,0.918,0.033,-0.710
6631721,K00160.01,,0.957,0.008,-0.025
5084942,K00161.01,Kepler-475 b,0.799,0.001,-0.561
8107380,K00162.01,Kepler-476 b,0.568,0.286,-0.368
6851425,K00163.01,Kepler-477 b,0.720,0.152,-0.506
5652237,K00164.01,,0.808,0.139,-0.565
9527915,K00165.01,Kepler-478 b,0.451,0.007,-0.445
2441495,K00166.01,Kepler-479 b,0.594,0.270,-0.395
11666881,K00167.01,Kepler-480 b,0.243,0.142,-0.243
11512246,K00168.01,Kepler-23 c,0.034,0.257,-0.034
11512246,K00168.02,Kepler-23 d,0.153,0.227,-0.153
11512246,K00168.03,Kepler-23 b,0.079,0.320,-0.079
6185711,K00169.01,,1.166,68.380,-0.113
11044770,K00170.01,,0.985,0.159,-0.013
7831264,K00171.01,Kepler-116 b,0.166,0.263,-0.166
7831264,K00171.02,Kepler-116 c,0.751,0.179,-0.517
8692861,K00172.01,Kepler-69 b,0.009,0.359,-0.009
8692861,K00172.02,Kepler-69 c,0.173,0.263,-0.173
11402995,K00173.01,Kepler-481 b,0.672,0.015,-0.515
10810838,K00174.01,Kepler-482 b,0.835,0.047,-0.572
8323753,K00175.01,,0.965,0.021,-0.675
6442377,K00176.01,Kepler-483 b,0.770,0.118,-0.528
6803202,K00177.01,,0.176,0.250,-0.176
11455491,K00178.01,,0.670,0.028,-0.506
9663113,K00179.01,Kepler-458 c,0.431,0.037,-0.363
9663113,K00179.02,Kepler-458 b,0.712,0.063,-0.332
9573539,K00180.01,Kepler-484 b,0.075,0.359,-0.075
12504988,K00181.01,,0.618,0.005,-0.005
5376836,K00182.01,,0.612,0.066,-0.135
9651668,K00183.01,Kepler-423 b,0.076,0.008,-0.053
7972785,K00184.01,,0.446,0.009,-0.012
4178389,K00185.01,,0.954,0.030,-0.023
12019440,K00186.01,Kepler-485 b,0.117,0.028,-0.080
7023960,K00187.01,,0.197,0.026,-0.046
5357901,K00188.01,Kepler-425 b,0.321,0.036,-0.072
11391018,K00189.01,Kepler-486 b,0.359,0.020,-0.020
5771719,K00190.01,,0.818,0.003,-0.003
5972334,K00191.01,Kepler-487 b,0.487,0.016,-0.031
5972334,K00191.02,,0.018,0.439,-0.018
5972334,K00191.03,,0.033,0.468,-0.033
5972334,K00191.04,Kepler-487 c,0.038,0.395,-0.038
7950644,K00192.01,Kepler-427 b,0.049,0.010,-0.049
10799735,K00193.01,,0.380,0.018,-0.028
10904857,K00194.01,Kepler-488 b,0.784,0.029,-0.054
11502867,K00195.01,Kepler-426 b,0.638,0.009,-0.010
9410930,K00196.01,Kepler-41 b,0.554,0.011,-0.015
2987027,K00197.01,Kepler-489 b,0.085,0.129,-0.050
10666242,K00198.01,,0.884,0.013,-0.012
10019708,K00199.01,Kepler-490 b,0.065,0.081,-0.044
10019708,K00199.02,,0.681,0.005,-0.531
6046540,K00200.01,Kepler-74 b,0.568,0.022,-0.028
6849046,K00201.01,Kepler-491 b,0.074,0.080,-0.051
7877496,K00202.01,Kepler-412 b,0.725,0.005,-0.005
10619192,K00203.01,Kepler-17 b,0.105,0.022,-0.072
9305831,K00204.01,Kepler-44 b,0.475,0.043,-0.082
7046804,K00205.01,Kepler-492 b,0.623,0.016,-0.026
5728139,K00206.01,Kepler-433 b,0.045,0.052,-0.045
3762468,K00208.01,Kepler-493 b,0.338,0.050,-0.338
10723750,K00209.01,Kepler-117 c,0.058,0.076,-0.058
10723750,K00209.02,Kepler-117 b,0.695,0.070,-0.418
10602291,K00210.01,,0.991,0.173,-0.045
10656508,K00211.01,,0.075,0.175,-0.075
6300348,K00212.01,,0.049,0.150,-0.049
9164836,K00213.01,,1.079,0.020,-0.024
11046458,K00214.01,Kepler-424 b,0.905,0.005,-0.007
12508335,K00215.01,,1.285,11.900,-0.177
6152974,K00216.01,Kepler-118 c,0.334,0.148,-0.224
6152974,K00216.02,Kepler-118 b,0.130,0.321,-0.130
9595827,K00217.01,Kepler-71 b,0.131,0.016,-0.111
9838975,K00218.01,,0.116,0.023,-0.078
6305192,K00219.01,Kepler-494 b,0.454,0.042,-0.323
7132798,K00220.01,Kepler-119 b,0.058,0.229,-0.058
7132798,K00220.02,Kepler-119 c,0.253,0.195,-0.253
3937519,K00221.01,Kepler-495 b,0.046,0.117,-0.046
3937519,K00221.02,,0.039,0.419,-0.039
4249725,K00222.01,Kepler-120 b,0.029,0.374,-0.029
4249725,K00222.02,Kepler-120 c,0.180,0.260,-0.180
4545187,K00223.01,Kepler-121 b,0.786,0.015,-0.561
4545187,K00223.02,Kepler-121 c,0.878,0.039,-0.595
5547480,K00224.01,,1.216,15.010,-0.109
5801571,K00225.01,,1.274,0.279,-0.147
5959753,K00226.01,Kepler-496 b,0.333,0.098,-0.333
3847907,K00229.01,Kepler-497 b,0.053,0.227,-0.053
3862246,K00230.01,,1.303,24.990,-0.042
4043443,K00231.01,,1.269,66.500,-0.074
4833421,K00232.01,Kepler-122 c,0.209,0.094,-0.209
4833421,K00232.02,Kepler-122 b,0.017,0.307,-0.017
4833421,K00232.03,Kepler-122 d,0.009,0.392,-0.009
4833421,K00232.04,Kepler-122 e,0.023,0.395,-0.023
4833421,K00232.05,Kepler-122 f,0.026,0.383,-0.026
5023956,K00233.01,,0.901,0.003,-0.004
8491277,K00234.01,Kepler-498 b,0.604,0.285,-0.384
8107225,K00235.01,Kepler-499 b,0.455,0.023,-0.425
8453211,K00236.01,,1.272,3.833,-0.127
8041216,K00237.01,Kepler-500 b,0.004,0.413,-0.004
7219825,K00238.01,Kepler-123 b,0.395,0.096,-0.348
7219825,K00238.02,Kepler-123 c,0.136,0.311,-0.136
7219825,K00238.03,,0.055,0.409,-0.055
6383785,K00239.01,Kepler-501 b,0.033,0.369,-0.033
6383785,K00239.02,,0.007,0.456,-0.007
8026752,K00240.01,Kepler-502 b,0.757,0.018,-0.384
11288051,K00241.01,Kepler-124 c,0.904,0.031,-0.660
11288051,K00241.02,Kepler-124 d,0.958,0.015,-0.665
11288051,K00241.03,Kepler-124 b,0.971,0.010,-0.682
3642741,K00242.01,Kepler-503 b,0.050,0.128,-0.050
9592579,K00243.01,,0.909,0.002,-0.002
4349452,K00244.01,Kepler-25 c,0.787,0.051,-0.401
4349452,K00244.02,Kepler-25 b,0.008,0.266,-0.008
8478994,K00245.01,Kepler-37 d,0.019,0.336,-0.019
8478994,K00245.02,Kepler-37 c,0.086,0.376,-0.086
11295426,K00246.01,Kepler-68 A b,0.015,0.347,-0.015
11295426,K00246.02,Kepler-68 A c,0.540,0.400,-0.330
11852982,K00247.01,,0.868,0.015,-0.639
5364071,K00248.01,Kepler-49 b,0.037,0.259,-0.037
5364071,K00248.02,Kepler-49 c,0.685,0.192,-0.459
5364071,K00248.03,Kepler-49 d,0.187,0.096,-0.187
5364071,K00248.04,Kepler-49 e,0.014,0.387,-0.014
9390653,K00249.01,Kepler-504 b,0.068,0.282,-0.068
9757613,K00250.01,Kepler-26 b,0.047,0.233,-0.047
9757613,K00250.02,Kepler-26 c,0.749,0.152,-0.509
9757613,K00250.03,Kepler-26 d,0.022,0.267,-0.022
9757613,K00250.04,Kepler-26 e,0.393,0.027,-0.393
10489206,K00251.01,Kepler-125 b,0.590,0.056,-0.429
10489206,K00251.02,Kepler-125 c,0.425,0.515,-0.227
11187837,K00252.01,,0.715,0.040,-0.512
11752906,K00253.01,,0.197,0.237,-0.197
11752906,K00253.02,,0.155,0.314,-0.155
5794240,K00254.01,Kepler-45 b,0.144,0.152,-0.084
7021681,K00255.01,Kepler-505 b,0.350,0.052,-0.350
7021681,K00255.02,,0.777,0.178,-0.562
7021681,K00255.03,,0.084,0.368,-0.084
11548140,K00256.01,,0.099,0.081,-0.099
5514383,K00257.01,Kepler-506 b,0.083,0.354,-0.083
11231334,K00258.01,,1.242,2.979,-0.143
5790807,K00259.01,,0.594,0.005,-0.009
8292840,K00260.01,Kepler-126 b,0.160,0.273,-0.160
8292840,K00260.02,Kepler-126 d,0.535,0.029,-0.429
8292840,K00260.03,Kepler-126 c,0.557,0.380,-0.348
5383248,K00261.01,Kepler-96 b,0.766,0.043,-0.517
11807274,K00262.01,Kepler-50 b,0.030,0.428,-0.030
11807274,K00262.02,Kepler-50 c,0.828,0.005,-0.577
10514430,K00263.01,,0.744,0.187,-0.515
3097346,K00264.01,,0.450,0.032,-0.447
12024120,K00265.01,Kepler-507 b,0.531,0.026,-0.426
7375348,K00266.01,Kepler-508 b,0.799,0.005,-0.588
7375348,K00266.02,,0.977,0.014,-0.692
3425851,K00268.01,,0.014,0.315,-0.014
7670943,K00269.01,,0.924,0.041,-0.669
6528464,K00270.01,Kepler-449 b,0.044,0.367,-0.044
6528464,K00270.02,Kepler-449 c,0.309,0.126,-0.309
9451706,K00271.01,Kepler-127 d,0.034,0.421,-0.034
9451706,K00271.02,Kepler-127 c,0.512,0.356,-0.302
9451706,K00271.03,Kepler-127 b,0.613,0.344,-0.394
5716763,K00272.01,,0.926,0.006,-0.610
3102384,K00273.01,Kepler-454 b,0.785,0.004,-0.586
8077137,K00274.01,Kepler-128 b,0.020,0.385,-0.020
8077137,K00274.02,Kepler-128 c,0.291,0.169,-0.291
10586004,K00275.01,Kepler-129 b,0.032,0.392,-0.032
10586004,K00275.02,Kepler-129 c,0.001,0.385,-0.001
11133306,K00276.01,Kepler-509 b,0.049,0.374,-0.049
11401755,K00277.01,Kepler-36 c,0.017,0.272,-0.017
11401755,K00277.02,Kepler-36 b,0.012,0.438,-0.012
12314973,K00279.01,Kepler-450 b,0.500,0.061,-0.352
12314973,K00279.02,Kepler-450 c,0.372,0.077,-0.372
12314973,K00279.03,Kepler-450 d,0.399,0.067,-0.399
4141376,K00280.01,Kepler-1655 b,0.904,0.003,-0.651
4143755,K00281.01,Kepler-510 b,0.606,0.180,-0.410
5088536,K00282.01,Kepler-130 c,0.577,0.053,-0.417
5088536,K00282.02,Kepler-130 b,0.494,0.044,-0.423
5088536,K00282.03,Kepler-130 d,0.983,0.029,-0.735
5695396,K00283.01,Kepler-131 b,0.546,0.303,-0.353
5695396,K00283.02,Kepler-131 c,0.322,0.132,-0.322
6021275,K00284.01,Kepler-132 d,0.966,0.027,-0.696
6021275,K00284.02,Kepler-132 c,0.869,0.057,-0.584
6021275,K00284.03,Kepler-132 b,0.775,0.047,-0.543
6021275,K00284.04,Kepler-132 e,0.675,0.269,-0.472
6196457,K00285.01,Kepler-92 b,0.658,0.153,-0.433
6196457,K00285.02,Kepler-92 c,0.035,0.374,-0.035
6196457,K00285.03,Kepler-92 d,0.277,0.189,-0.277
8258171,K00286.01,,0.711,0.221,-0.711
8703887,K00287.01,,0.579,0.027,-0.048
9592705,K00288.01,,0.315,0.123,-0.315
10386922,K00289.01,,0.015,0.412,-0.015
10386922,K00289.02,Kepler-511 b,0.429,0.093,-0.184
10488450,K00290.01,,0.763,0.097,-0.520
10933561,K00291.01,Kepler-133 c,0.561,0.020,-0.455
10933561,K00291.02,Kepler-133 b,0.896,0.029,-0.626
11075737,K00292.01,Kepler-97 b,0.349,0.077,-0.349
11200415,K00293.01,,0.014,0.442,-0.014
11259686,K00294.01,Kepler-512 b,0.017,0.388,-0.017
11547513,K00295.01,Kepler-134 b,0.720,0.119,-0.489
11547513,K00295.02,Kepler-134 c,0.828,0.000,-0.592
11802615,K00296.01,Kepler-513 b,0.778,0.026,-0.536
11905011,K00297.01,Kepler-514 b,0.906,0.005,-0.636
12785320,K00298.01,Kepler-515 b,0.846,0.019,-0.649
12785320,K00298.02,,0.954,0.012,-0.664
2692377,K00299.01,Kepler-98 b,0.362,0.067,-0.362
3438975,K00300.01,,0.721,0.085,-0.262
3642289,K00301.01,Kepler-135 b,0.914,0.095,-0.691
3642289,K00301.02,Kepler-135 c,0.824,0.141,-0.594
3662838,K00302.01,Kepler-516 b,0.746,0.009,-0.537
5966322,K00303.01,Kepler-517 b,0.009,0.412,-0.009
6029239,K00304.01,Kepler-518 b,0.005,0.409,-0.005
6029239,K00304.02,,0.243,0.222,-0.243
6063220,K00305.01,Kepler-99 b,0.246,0.189,-0.246
6071903,K00306.01,Kepler-519 b,0.425,0.058,-0.401
6289257,K00307.01,Kepler-520 b,0.914,0.023,-0.671
6289257,K00307.02,Kepler-520 c,0.833,0.102,-0.625
6291837,K00308.01,,0.895,0.035,-0.612
7024222,K00309.01,,0.350,0.078,-0.350
7050989,K00312.01,Kepler-136 b,0.359,0.091,-0.359
7050989,K00312.02,Kepler-136 c,0.115,0.335,-0.115
7419318,K00313.01,Kepler-137 c,0.785,0.059,-0.544
7419318,K00313.02,Kepler-137 b,0.510,0.027,-0.415
7603200,K00314.01,Kepler-138 c,0.545,0.080,-0.406
7603200,K00314.02,Kepler-138 d,0.320,0.100,-0.320
7603200,K00314.03,Kepler-138 b,0.061,0.365,-0.061
7700622,K00315.01,,0.001,0.416,-0.001
8008067,K00316.01,Kepler-139 b,0.009,0.360,-0.009
8008067,K00316.02,Kepler-139 c,0.004,0.415,-0.004
8008067,K00316.03,,0.826,0.069,-0.575
8121310,K00317.01,Kepler-521 b,0.017,0.308,-0.017
8121310,K00317.02,,0.029,0.441,-0.029
8156120,K00318.01,Kepler-522 b,0.905,0.032,-0.072
8684730,K00319.01,,0.904,0.003,-0.004
8700558,K00320.01,,1.209,7.666,-0.103
8753657,K00321.01,Kepler-406 b,0.694,0.177,-0.455
8753657,K00321.02,Kepler-406 c,0.388,0.076,-0.388
8948424,K00322.01,,6.217,25.530,-0.920
9139084,K00323.01,Kepler-523 b,0.129,0.325,-0.128
9641041,K00324.01,,0.778,0.032,-0.178
9724984,K00325.01,,0.995,0.209,-0.023
9880467,K00326.01,,0.560,0.361,-0.361
9880467,K00326.02,,0.055,0.404,-0.055
9881662,K00327.01,Kepler-140 b,0.303,0.117,-0.303
9881662,K00327.02,Kepler-140 c,0.008,0.428,-0.008
9895004,K00328.01,,1.221,6.357,-0.130
10031885,K00329.01,,1.197,6.740,-0.007
11361646,K00330.01,Kepler-524 b,0.128,0.266,-0.128
11361646,K00330.02,Kepler-524 c,0.011,0.449,-0.011
10285631,K00331.01,Kepler-525 b,0.858,0.008,-0.603
10285631,K00331.02,,1.120,69.210,-0.128
10290666,K00332.01,Kepler-526 b,0.650,0.087,-0.450
10290666,K00332.02,,0.405,0.050,-0.405
10337258,K00333.01,Kepler-527 b,0.774,0.158,-0.525
10383687,K00334.01,,0.752,0.036,-0.533
10470206,K00335.01,,0.870,0.018,-0.052
10518725,K00336.01,,0.742,0.224,-0.536
10545066,K00337.01,Kepler-528 b,0.015,0.375,-0.015
10552611,K00338.01,Kepler-141 c,0.683,0.046,-0.480
10552611,K00338.02,Kepler-141 b,0.700,0.243,-0.473
10587105,K00339.01,Kepler-529 b,0.713,0.183,-0.470
10587105,K00339.02,Kepler-529 c,0.956,0.025,-0.683
10587105,K00339.03,,0.963,0.008,-0.719
10616571,K00340.01,,0.210,0.026,-0.045
10878263,K00341.01,Kepler-414 c,0.188,0.237,-0.188
10878263,K00341.02,Kepler-414 b,0.135,0.298,-0.135
10982872,K00343.01,Kepler-142 c,0.384,0.002,-0.384
10982872,K00343.02,Kepler-142 b,0.513,0.013,-0.495
10982872,K00343.03,Kepler-142 d,0.011,0.437,-0.011
11015108,K00344.01,Kepler-530 b,0.028,0.335,-0.028
11074541,K00345.01,Kepler-531 b,0.658,0.031,-0.454
11100383,K00346.01,Kepler-532 b,0.768,0.150,-0.524
11189127,K00347.01,,0.982,8.150,-0.098
11194032,K00348.01,Kepler-533 b,0.770,0.006,-0.557
11394027,K00349.01,,0.021,0.411,-0.021
11395587,K00350.01,,0.068,0.370,-0.068
11442793,K00351.01,Kepler-90 h,0.020,0.136,-0.020
11442793,K00351.02,Kepler-90 g,0.002,0.172,-0.002
11442793,K00351.03,Kepler-90 d,0.005,0.413,-0.005
11442793,K00351.04,Kepler-90 e,0.025,0.403,-0.025
11442793,K00351.05,Kepler-90 c,0.343,0.085,-0.343
11442793,K00351.06,Kepler-90 b,0.156,0.312,-0.156
11442793,K00351.07,Kepler-90 f,0.943,0.028,-0.645
11521793,K00352.01,Kepler-143 c,0.915,0.009,-0.637
11521793,K00352.02,Kepler-143 b,0.975,0.006,-0.770
11566064,K00353.01,,0.878,0.007,-0.009
11566064,K00353.02,,0.682,0.039,-0.493
11566064,K00353.03,,0.739,0.235,-0.532
11568987,K00354.01,Kepler-534 b,0.526,0.016,-0.429
11568987,K00354.02,,0.513,0.028,-0.461
11621223,K00355.01,Kepler-535 b,0.016,0.386,-0.016
11624249,K00356.01,Kepler-536 b,0.033,0.239,-0.033
12017140,K00358.01,,0.617,0.001,-0.001
12106929,K00359.01,,0.976,0.012,-0.006
12107021,K00360.01,,0.748,0.206,-0.748
